Word,Gloss,Chapter
אָדָם,"man, mankind; Adam",1
אֶל,"(prep.) to, toward",1
אֵל,god; God,1
אִם,(conj.) if,1
אֶרֶץ,"earth, ground; land; country",1
אֵשׁ,fire,1
גַּם,"also, even; as well as",1
דָּבָר,"word; thing; affair, matter",1
דָּם,blood,1
הַר,"hill, hill country, mountain",1
הַי,"living, alive",1
יָם,"sea, lake",1
לאֹ,"no, not",1
לָכֵן,(adv.) therefore,1
מְאֹד,"(adv.) very, exceedingly",1
מַלְאָךְ,"angel, messenger",1
מִן,(prep.) from,1
ראֹשׁ,"head, top, chief",1
שָׁם,(adv.) there; then,1
אָדוֹן,"lord, master; the Lord",2
אוֹ,(conj.) or,2
אָמֵן,"""surely!""",2
אֵת,direct object marker,2
גּוֹי,"people, nation (plural, nations)",2
הַרְבֵּה,"much, many; (adv.) very much",2
וְ   וּ,(conj.) and; but,2
זָקֵן,old,2
חָזָק,"firm, hard; strong, powerful",2
טוֹב,good,2
יוֹם,"day, daylight",2
יוֹמָם,"(adv.) daily, by day",2
כֹּה,(adv.) here; now; thus,2
כְּלִי,vessel; instrument; weapon,2
כֵּן,"(adv.) thus, so; then, aftewards",2
מָלֵא,"full, filled, full of",2
נֶגֶד,"(prep.) opposite, in front of, before",2
עוֹלָם,"long time, duration; eternity",2
פֶּן,"(conj.) lest, so that not",2
צאֹן,"flocks, heards",2
קוֹל,"voice, sound, noise",2
אָבַד,"to die, perish; become lost; go astray",3
אָהַב,to love,3
אָכַל,"to eat, feed",3
אָמַר,to say,3
גָּדַל,"to grow up, become strong, become great",3
הָלַךְ,"to go, walk",3
זָכַר,"to remember, call to mind",3
חָזַק,"to be strong, become strong, have courage",3
כָּרַת,"to cut; cut off, exterminate (with בְּרִית = to make a covenant)",3
לָקַח,"to take, seize, grasp",3
מָלַךְ,"to rule, reign, be king; become king",3
נָתַן,"to give, set, put",3
עָבַד,"to serve, work",3
עָבַר,"to pass over, pass by, move through",3
עָמַד,"to stand, stand before",3
פּקַד,"to visit, appoint, inspect",3
שָׁלַח,"to send, send out, stretch out",3
שָׁמַע,"to hear, listen, obey",3
