Word,Gloss,Chapter
_____,"man, mankind; Adam",1
___,"(prep.) to, toward",1
___,god; God,1
___,(conj.) if,1
_____,"earth, ground; land; country",1
____,fire,1
____,"also, even; as well as",1
______,"word; thing; affair, matter",1
____,blood,1
___,"hill, hill country, mountain",1
___,"living, alive",1
___,"sea, lake",1
_____,"no, not",1
_____,(adv.) therefore,1
________,"angel, messenger",1
___,(prep.) from,1
_____,"head, top, chief",1
____,(adv.) there; then,1
______,"lord, master; the Lord",2
___,(conj.) or,2
_____,"""surely!""",2
___,direct object marker,2
_____,"people, nation (plural, nations)",2
________,"much, many; (adv.) very much",2
__   __,(conj.) and; but,2
_____,old,2
_____,"firm, hard; strong, powerful",2
____,good,2
____,"day, daylight",2
______,"(adv.) daily, by day",2
____,(adv.) here; now; thus,2
______,vessel; instrument; weapon,2
____,"(adv.) thus, so; then, aftewards",2
_____,"full, filled, full of",2
_____,"(prep.) opposite, in front of, before",2
______,"long time, duration; eternity",2
____,"(conj.) lest, so that not",2
____,"flocks, heards",2
____,"voice, sound, noise",2
_____,"to die, perish; become lost; go astray",3
_____,to love,3
_____,"to eat, feed",3
_____,to say,3
______,"to grow up, become strong, become great",3
______,"to go, walk",3
_____,"to remember, call to mind",3
_____,"to be strong, become strong, have courage",3
______,"to cut; cut off, exterminate (with _______ = to make a covenant)",3
_____,"to take, seize, grasp",3
______,"to rule, reign, be king; become king",3
_____,"to give, set, put",3
_____,"to serve, work",3
_____,"to pass over, pass by, move through",3
_____,"to stand, stand before",3
_____,"to visit, appoint, inspect",3
______,"to send, send out, stretch out",3
______,"to hear, listen, obey",3
______,"to guard, watch over",3
______,"to judge (mainly military sesne), pass judgement, rule",3
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
___,(masc.) father,6
___,brother,6
_____,"man, husband; person",6
______,"woman, wife",6
______,"the relative pronoun (who, whom, which, that, where)",6
___,"(prep.) in, with, by",6
______,(masc.) house,6
____,son,6
____,daughter,6
_____,sacrifce,6
___,"(prep.) like, as, according to",6
__,"(prep.) to, for",6
_____,bread food,6
_________,Egypt,6
_____,"plague, affliction",6
_____,"something written, scroll, letter",6
_____,"to gather together, collect, assemble",6
_______,holy,6
______,to be holy,6
______,"something holy, holiness, pl.: votive offerings",6
_____,"to pursue, follow",6
_____,stone,7
_____,tent,7
_______,"boundary, territory",7
_____,sword,7
___,"hand, forearm",7
______,"silver, money",7
________,"desert, wilderness, steppe",7
_________,"holy place, sanctuary",7
___________,"extended family, clan",7
_____,"young man, servant",7
_______,"young (unmarried girl), female attendent",7
______,"throat, neck, self, soul",7
___,"tree, tember, wood",7
___,"people, clan",7
____,"mouth, opening",7
____,"king's representative, prince, head, leader",7
______,"field, pasture, arable land",7
____,"name, reputation",7
______,gate,7
_______,midst,7
_____ / _______,"(prep. or adv.) after, behind",8
___ / ______,where?,8
_____ / ______,"how? (also as an exclamation: ""How!"")",8
____,there is not/are not (particle of non-existance),8
___ / ___,definte direct object marker ,8
___ / ___,(prep.) with,8
_____,(prep.) between,8
________,"(prep.) in the middle of, in the midst of (see 7.6)",8
______,"""behold"" (particle of immediacy -- often untranslated)",8
____,there is/are (particle of existance),8
_______,"(prep.) on account of, for the sake of",8
_______,"(prep.) before, in front of",8
___,what?,8
___,who/whom?,8
_____,(prep.) above,8
___,particle of address (untranslated),8
___,"(prep.) until, as far as",8
___,"(prep.) on, upon, on account of, over",8
__________,"(prep.) because, on account of",8
___,(prep.) with,8
______,"(prep.) under, in place of",8
